date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:06:58	14998/14998	---MC-	200	added ('OK')	text/html	date:Sat,%2030%20Mar%202024%2019:08:19%20GMT	https://rootedthegame.com/news/our-discord-bot-has-been-updated	C:/My%20Web%20Sites/Rooted/rootedthegame.com/news/our-discord-bot-has-been-updated.html	(from https://rootedthegame.com/news)
22:06:58	70816/70816	---M--	200	added ('OK')	image/jpeg	etag:%22647f46f5-114a0%22	https://rootedthegame.com/storage/alpha-roadmap-for-rooted-is-now-live.jpg	C:/My%20Web%20Sites/Rooted/rootedthegame.com/storage/alpha-roadmap-for-rooted-is-now-live.jpg	(from https://rootedthegame.com/news)
22:06:58	15733/15733	---MC-	200	added ('OK')	text/html	date:Sat,%2030%20Mar%202024%2019:08:19%20GMT	https://rootedthegame.com/news/alpha-roadmap-for-rooted-is-now-live	C:/My%20Web%20Sites/Rooted/rootedthegame.com/news/alpha-roadmap-for-rooted-is-now-live.html	(from https://rootedthegame.com/news)
22:06:58	37113/37113	---M--	200	added ('OK')	image/jpeg	etag:%22647e6a93-90f9%22	https://rootedthegame.com/storage/rooted-exploration.jpg	C:/My%20Web%20Sites/Rooted/rootedthegame.com/storage/rooted-exploration.jpg	(from https://rootedthegame.com/news)
22:06:59	19224/19224	---MC-	200	added ('OK')	text/html	date:Sat,%2030%20Mar%202024%2019:08:20%20GMT	https://rootedthegame.com/news/1st-alpha-session-exploration-and-survival-monastery	C:/My%20Web%20Sites/Rooted/rootedthegame.com/news/1st-alpha-session-exploration-and-survival-monastery.html	(from https://rootedthegame.com/news)
22:06:59	86790/86790	---M--	200	added ('OK')	image/jpeg	etag:%22647e6a93-15306%22	https://rootedthegame.com/storage/banner_registernow.jpg	C:/My%20Web%20Sites/Rooted/rootedthegame.com/storage/banner_registernow.jpg	(from https://rootedthegame.com/news)
22:06:59	18168/18168	---MC-	200	added ('OK')	text/html	date:Sat,%2030%20Mar%202024%2019:08:20%20GMT	https://rootedthegame.com/news/register-now-for-alpha-sessions-coming-in-2023	C:/My%20Web%20Sites/Rooted/rootedthegame.com/news/register-now-for-alpha-sessions-coming-in-2023.html	(from https://rootedthegame.com/news)
22:06:59	75621/75621	---M--	200	added ('OK')	image/jpeg	etag:%22647ef698-12765%22	https://rootedthegame.com/storage/time-mocap-banner.jpg	C:/My%20Web%20Sites/Rooted/rootedthegame.com/storage/time-mocap-banner.jpg	(from https://rootedthegame.com/news)
22:07:00	17483/17483	---MC-	200	added ('OK')	text/html	date:Sat,%2030%20Mar%202024%2019:08:21%20GMT	https://rootedthegame.com/news/rooted-200-funded-mocap-animations	C:/My%20Web%20Sites/Rooted/rootedthegame.com/news/rooted-200-funded-mocap-animations.html	(from https://rootedthegame.com/news)
22:07:00	43399/43399	---M--	200	added ('OK')	image/jpeg	etag:%22647e6a93-a987%22	https://rootedthegame.com/storage/our-progress.jpg	C:/My%20Web%20Sites/Rooted/rootedthegame.com/storage/our-progress.jpg	(from https://rootedthegame.com/news)
22:07:00	21963/21963	---MC-	200	added ('OK')	text/html	date:Sat,%2030%20Mar%202024%2019:08:21%20GMT	https://rootedthegame.com/news/our-progress-and-alpha-sessions	C:/My%20Web%20Sites/Rooted/rootedthegame.com/news/our-progress-and-alpha-sessions.html	(from https://rootedthegame.com/news)
22:07:00	78988/78988	---M--	200	added ('OK')	image/jpeg	etag:%22647e6a93-1348c%22	https://rootedthegame.com/storage/roadmap.jpg	C:/My%20Web%20Sites/Rooted/rootedthegame.com/storage/roadmap.jpg	(from https://rootedthegame.com/news)
22:07:00	15836/15836	---MC-	200	added ('OK')	text/html	date:Sat,%2030%20Mar%202024%2019:08:22%20GMT	https://rootedthegame.com/news/Our-road-map-and-pvp-news	C:/My%20Web%20Sites/Rooted/rootedthegame.com/news/Our-road-map-and-pvp-news.html	(from https://rootedthegame.com/news)
22:07:01	131930/131930	---M--	200	added ('OK')	image/jpeg	etag:%22647e6a93-2035a%22	https://rootedthegame.com/storage/kickstarter.jpg	C:/My%20Web%20Sites/Rooted/rootedthegame.com/storage/kickstarter.jpg	(from https://rootedthegame.com/news)
22:07:01	14215/14215	---MC-	200	added ('OK')	text/html	date:Sat,%2030%20Mar%202024%2019:08:22%20GMT	https://rootedthegame.com/news/Rooted-s-Kickstarter-is-launched	C:/My%20Web%20Sites/Rooted/rootedthegame.com/news/Rooted-s-Kickstarter-is-launched.html	(from https://rootedthegame.com/news)
